,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size,region
C049,"String/Yard long bean seed, dried",Per 100 g,371,30.7,2.3,56.8,11.4,18,100,PH
C050,"Velvet bean seed, dried",Per 100 g,378,28.2,4.7,55.8,-,-,100,PH
C051,"Chickpea, cnd",Per 100 g,132,7.4,2.4,20.1,6.0,229,100,PH
C052,"Coconut chip, toasted, sweetn",Per 100 g,580,4.2,37.5,56.5,5.1,298,100,PH
C053,"Coconut, cream curd",Per 100 g,620,13.2,52.0,24.8,4.5,39,100,PH
C054,"Green pea, dried, fried & seasoned",Per 100 g,468,19.0,20.3,52.4,24.7,577,100,PH
C055,"Green pea, in brine, cnd",Per 100 g,118,6.9,1.1,20.1,8.1,449,100,PH
C056,"Green pea-corn-peanut mixture, fried",Per 100 g,511,19.8,26.5,48.4,-,-,100,PH
C057,"Lima bean, fried & seasoned",Per 100 g,500,24.4,26.0,42.2,-,-,100,PH
C058,Peanut butter,Per 100 g,616,25.4,45.4,26.4,5.8,426,100,PH
C059,"Peanut butter, choc flvr",Per 100 g,631,17.2,48.2,32.0,5.8,425,100,PH
C060,Peanut cracker,Per 100 g,541,23.0,31.2,42.1,3.3,530,100,PH
C061,"Soybean cheese, salted",Per 100 g,117,11.4,6.2,4.0,0.0,3410,100,PH
C062,"Soybean seed, black, fermented",Per 100 g,143,12.0,7.2,7.6,0.0,3842,100,PH
C063,"Soybean cheese, soft curd",Per 100 g,89,8.1,5.4,2.0,0.4,48,100,PH
C064,"Soybean cheese, hard curd",Per 100 g,123,12.9,7.0,2.0,0.5,114,100,PH
C065,Soybean pudding/ Geerlig's cheese,Per 100 g,34,2.9,1.4,2.4,0.2,22,100,PH
C066,Soybean pudding/Geerlig's cheese w/ syrup & tapioca starch ball,Per 100 g,62,2.2,0.1,13.1,0.1,23,100,PH
C067,"Soybean paste, miso",Per 100 g,144,13.0,3.5,15.2,3.2,1673,100,PH
C068,"Soybean seed, yellow, cnd, drnd",Per 100 g,138,11.8,5.9,9.4,4.3,479,100,PH
C069,"Watermelon seed, dried, salted",Per 100 g,562,40.2,43.2,3.1,6.0,94,100,PH
D001,American black nightshade lvs,Per 100 g,56,4.9,0.6,7.9,4.3,29,100,PH
D002,Apat-apat fern lvs,Per 100 g,131,7.6,0.4,24.2,-,-,100,PH
D003,Aragan lvs,Per 100 g,29,1.2,0.3,5.4,-,-,100,PH
D004,Asystasia lvs & stems,Per 100 g,61,3.6,0.9,9.6,4.7,31,100,PH
D005,Aurora lvs & stems,Per 100 g,108,2.8,1.9,19.9,10.5,19,100,PH
D006,Bago lvs,Per 100 g,91,6.6,1.5,12.8,7.7,1,100,PH
D007,"Bago lvs, boiled",Per 100 g,42,3.0,0.4,6.5,3.8,1,100,PH
D008,"Bago bagin fruit, boiled",Per 100 g,159,5.8,0.4,33.1,-,-,100,PH
D010,Bamboo shoot,Per 100 g,28,1.9,0.4,4.1,2.1,4,100,PH
D011,"Bamboo shoot, boiled",Per 100 g,26,1.2,0.3,4.5,1.6,6,100,PH
D012,Banana stem,Per 100 g,16,0.8,0.1,3.0,1.9,32,100,PH
D013,"Banana heart, butuan",Per 100 g,39,1.6,0.4,7.2,3.7,3,100,PH
D014,"Banana heart, butuan, boiled",Per 100 g,18,0.9,0.2,3.2,2.7,2,100,PH
D015,Bayuno fruit,Per 100 g,74,3.0,0.7,13.9,5.6,15,100,PH
D016,Beet,Per 100 g,41,1.7,0.2,8.0,2.5,36,100,PH
D017,"Beet, boiled",Per 100 g,45,1.9,0.1,9.1,2.0,77,100,PH
D018,Bitter melon/gourd fruit,Per 100 g,23,1.0,0.2,4.2,1.3,15,100,PH
D019,"Bitter melon/gourd fruit, boiled",Per 100 g,19,0.4,0.2,3.8,1.6,1,100,PH
D020,Bitter melon/gourd lvs,Per 100 g,34,4.2,0.6,3.0,3.5,9,100,PH
D021,"Bitter melon/gourd lvs, boiled",Per 100 g,50,2.2,0.6,9.0,2.1,14,100,PH
D023,Blue pea pod,Per 100 g,68,3.8,0.4,12.2,4.8,11,100,PH
D024,Borreria lvs & stems,Per 100 g,68,1.7,0.2,14.8,-,-,100,PH
D025,Bottle gourd fruit,Per 100 g,20,0.4,0.1,4.3,0.7,5,100,PH
D026,"Bottle gourd fruit, boiled",Per 100 g,16,0.2,0.0,3.8,1.1,2,100,PH
D027,Bottle gourd lvs,Per 100 g,43,3.3,0.6,6.2,-,12,100,PH
D028,"Bottle gourd lvs, boiled",Per 100 g,22,1.7,0.3,3.2,-,6,100,PH
D029,Breadfruit fruit,Per 100 g,65,2.4,0.5,12.8,2.7,1,100,PH
D030,Breadnut fruit,Per 100 g,55,2.5,1.1,8.7,2.2,3,100,PH
D031,Breadnut seed,Per 100 g,72,3.4,1.2,11.9,-,1,100,PH
D032,Bulak-bulakan pod,Per 100 g,68,1.6,0.9,13.4,-,-,100,PH
D033,Busi-busi lvs,Per 100 g,54,3.1,2.0,6.0,-,-,100,PH
D035,"Cabbage, green",Per 100 g,31,1.6,0.1,5.9,2.5,12,100,PH
D036,"Cabbage, green, boiled",Per 100 g,23,0.6,0.1,5.0,1.5,6,100,PH
D037,"Cabbage, red",Per 100 g,32,1.6,0.2,6.0,1.8,24,100,PH
D038,"Cabbage, red, boiled",Per 100 g,28,0.9,0.2,5.6,2.0,22,100,PH
D039,Carrot,Per 100 g,42,1.1,0.3,8.6,2.6,26,100,PH
D040,"Carrot, boiled",Per 100 g,42,1.1,0.4,8.6,3.3,64,100,PH
D041,"Cashew, young lvs",Per 100 g,113,4.9,0.6,22.0,-,-,100,PH
D042,"Cashew, young lvs, boiled",Per 100 g,57,2.4,0.4,10.9,-,-,100,PH
D043,Cassava lvs,Per 100 g,83,7.1,1.4,10.5,8.0,7,100,PH
D044,"Cassava lvs, boiled",Per 100 g,43,3.4,0.7,5.7,4.1,4,100,PH
D045,Cauliflower,Per 100 g,32,2.1,0.3,5.2,2.1,14,100,PH
D046,"Cauliflower, boiled",Per 100 g,27,1.5,0.2,4.8,2.3,12,100,PH
D047,Celery lvs & petioles,Per 100 g,25,1.2,0.0,5.1,2.6,14,100,PH
D048,"Celery, Chinese, lvs & petioles",Per 100 g,37,2.4,0.6,5.4,3.5,151,100,PH
D049,"Celery, Chinese, lvs & petioles, boiled",Per 100 g,27,1.4,0.1,5.0,2.0,108,100,PH
D050,Chayote fruit,Per 100 g,23,0.5,0.1,5.1,0.6,8,100,PH
D051,"Chayote fruit, boiled",Per 100 g,16,0.3,0.1,3.5,0.4,5,100,PH
D052,Chayote lvs,Per 100 g,44,4.6,0.3,5.7,-,1,100,PH
D053,"Chayote lvs, boiled",Per 100 g,21,2.5,0.2,2.3,-,1,100,PH
D054,Chinese cabbage,Per 100 g,21,1.7,0.3,2.9,1.2,9,100,PH
D055,"Chinese cabbage, boiled",Per 100 g,15,1.0,0.1,2.4,1.4,7,100,PH
D056,Coconut cotyledon,Per 100 g,67,1.7,1.8,11.1,0.8,23,100,PH
D057,"Coconut, heart of palm",Per 100 g,47,4.3,0.8,5.7,0.6,4,100,PH
D059,Fragrant manjack lvs,Per 100 g,61,4.6,0.3,9.9,-,-,100,PH
D060,Coriander lvs,Per 100 g,37,3.0,0.6,4.8,3.5,29,100,PH
D061,Cowpea lvs,Per 100 g,49,4.9,1.4,4.3,-,8,100,PH
D062,"Cowpea lvs, boiled",Per 100 g,30,1.9,0.4,4.6,-,5,100,PH
D063,Cowpea pod,Per 100 g,51,3.4,0.4,8.5,3.1,1,100,PH
D064,"Cowpea pod, boiled",Per 100 g,52,2.8,0.4,9.4,3.1,1,100,PH
D065,"Cowpea seed, fresh",Per 100 g,86,5.1,0.1,16.1,4.9,4,100,PH
D066,Crown daisy lvs,Per 100 g,23,2.3,0.4,2.6,2.3,89,100,PH
D067,"Kutcharitas lvs, green",Per 100 g,54,2.6,0.8,9.2,-,-,100,PH
D068,"Kutcharitas lvs, red",Per 100 g,84,2.3,0.6,17.4,-,-,100,PH
D069,Cucumber,Per 100 g,16,0.5,0.1,3.2,0.7,13,100,PH
D070,East Indian lotus fruit,Per 100 g,80,4.1,1.1,13.5,-,-,100,PH
D071,East Indian lotus lvs,Per 100 g,46,4.7,0.8,5.0,-,-,100,PH
D072,"East Indian lotus lvs, boiled",Per 100 g,28,2.9,0.4,3.1,-,-,100,PH
D073,Eggplant,Per 100 g,29,1.2,0.2,5.5,1.6,3,100,PH
D074,"Eggplant, boiled",Per 100 g,25,1.0,0.1,4.9,1.5,1,100,PH
D075,Endive lvs,Per 100 g,29,1.6,0.2,5.3,4.1,29,100,PH
D077,"Flowering fern, lvs",Per 100 g,68,3.0,0.6,12.6,-,-,100,PH
D078,Foetid cassia lvs,Per 100 g,88,4.4,1.0,15.3,-,-,100,PH
D079,Fragrant premna lvs,Per 100 g,100,5.4,1.1,17.0,-,5,100,PH
D080,"Fragrant premna lvs, boiled",Per 100 g,53,1.1,0.3,11.4,-,3,100,PH
D081,"Galo fruit, whole",Per 100 g,165,3.9,1.8,33.4,-,-,100,PH
D082,"Galo pulp, boiled",Per 100 g,80,3.0,0.4,16.2,-,-,100,PH
D083,"Galo seed, boiled",Per 100 g,215,5.1,3.7,40.3,-,-,100,PH
D084,Garlic bulb,Per 100 g,129,7.0,0.3,24.6,1.7,10,100,PH
D085,Garlic lvs,Per 100 g,50,2.0,0.6,9.2,3.0,4,100,PH
D086,"Garlic lvs, boiled",Per 100 g,45,1.1,0.6,8.8,2.6,3,100,PH
D087,Garlic lvs & bulb,Per 100 g,79,2.6,0.6,15.8,5.0,31,100,PH
D088,Glynus lvs,Per 100 g,39,3.7,0.8,4.2,3.3,164,100,PH
D089,Guava lvs,Per 100 g,131,4.5,2.4,22.9,11.2,11,100,PH
D090,Himbaba-o flower,Per 100 g,68,6.3,1.1,8.1,6.6,17,100,PH
D091,"Himbaba-o flower, boiled",Per 100 g,52,2.9,0.9,8.1,5.1,13,100,PH
D092,Himbaba-o lvs,Per 100 g,86,5.8,1.4,12.6,-,22,100,PH
D093,"Himbaba-o lvs, boiled",Per 100 g,49,1.6,0.5,9.6,-,12,100,PH
D094,Horseradish tree lvs,Per 100 g,108,9.7,2.0,12.7,6.7,17,100,PH
D095,"Horseradish tree lvs, boiled",Per 100 g,63,3.1,0.9,10.6,1.7,8,100,PH
D096,"Horseradish tree lvs, dwarf",Per 100 g,89,9.0,3.1,6.2,5.0,13,100,PH
D097,"Horseradish tree lvs, dwarf, boiled",Per 100 g,48,3.0,1.0,6.8,1.2,5,100,PH
D098,"Horseradish tree lvs, Japanese",Per 100 g,60,6.2,1.6,5.2,3.6,9,100,PH
D099,"Horseradish tree lvs, Japanese, boiled",Per 100 g,42,2.4,1.1,5.5,1.1,5,100,PH
D100,Horseradish tree pod,Per 100 g,93,2.5,0.4,19.9,6.5,85,100,PH
D101,"Horseradish tree pod, boiled",Per 100 g,25,1.1,0.2,4.6,1.7,23,100,PH
D102,Hyacinth bean pod,Per 100 g,45,2.5,0.4,7.8,4.2,6,100,PH
D103,"Hyacinth bean pod, boiled",Per 100 g,34,1.3,0.1,6.9,3.2,5,100,PH
D104,"Jackfruit fruit, unripe",Per 100 g,58,2.0,0.6,11.1,2.4,3,100,PH
D105,Jackfruit seed,Per 100 g,164,5.5,0.5,34.4,5.0,24,100,PH
D106,"Jackfruit seed, boiled",Per 100 g,156,4.5,0.3,33.7,4.7,22,100,PH
D107,Jute lvs,Per 100 g,71,6.1,1.1,9.1,7.0,5,100,PH
D108,"Jute lvs, boiled",Per 100 g,44,2.9,0.6,6.8,1.7,9,100,PH
D111,Lagikway lvs,Per 100 g,54,4.0,1.2,6.8,-,18,100,PH
D112,"Lagikway lvs, boiled",Per 100 g,30,1.3,0.4,5.3,-,10,100,PH
D113,Chinese leek lvs,Per 100 g,34,2.4,0.7,4.6,0.9,6,100,PH
D114,"Chinese leek lvs, boiled",Per 100 g,19,1.3,0.4,2.6,0.5,5,100,PH
D115,Lettuce lvs & petioles,Per 100 g,22,1.3,0.4,3.4,1.8,17,100,PH
D116,"Lettuce tree, young lvs",Per 100 g,43,3.6,1.0,5.0,-,-,100,PH
D117,"Lettuce tree, young lvs, boiled",Per 100 g,26,0.7,1.2,3.1,-,-,100,PH
D118,Lima bean pod,Per 100 g,126,8.3,0.7,21.7,5.3,2,100,PH
D119,"Lima bean pod, boiled",Per 100 g,100,7.0,0.3,17.2,4.1,13,100,PH
D120,"Limang sugat, young lvs",Per 100 g,56,3.4,0.2,10.1,-,-,100,PH
D121,Malabar nightshade lvs,Per 100 g,33,2.4,0.4,5.0,2.5,27,100,PH
D122,"Malabar nightshade lvs, boiled",Per 100 g,21,0.6,0.2,4.3,1.6,17,100,PH
D123,Malibaddu,Per 100 g,50,1.2,0.2,10.8,-,11,100,PH
D124,"Mango, young lvs",Per 100 g,90,3.0,0.7,17.8,8.1,3,100,PH
D125,"Mango, young lvs, boiled",Per 100 g,50,1.6,0.4,9.9,4.4,2,100,PH
D126,Marrow-stem kale lvs and stems,Per 100 g,34,3.1,0.5,4.3,2.1,23,100,PH
D127,Mexican lilac flower,Per 100 g,58,2.8,0.7,10.1,3.9,45,100,PH
D128,"Mexican lilac flowers, boiled",Per 100 g,31,1.4,0.2,5.8,2.1,24,100,PH
D129,Morning glory lvs,Per 100 g,57,4.0,0.4,9.3,6.0,11,100,PH
D130,"Mung bean seed, fresh",Per 100 g,119,7.7,0.2,21.6,6.4,8,100,PH
D131,Mung bean sprout,Per 100 g,64,5.7,0.1,10.0,3.1,7,100,PH
D132,"Mung bean sprout, boiled",Per 100 g,54,4.8,0.7,7.0,1.6,20,100,PH
D133,"Mushroom, fresh",Per 100 g,48,3.8,0.6,6.9,1.6,8,100,PH
D134,Mustard lvs,Per 100 g,24,2.3,0.4,2.7,2.1,9,100,PH
D135,"Mustard lvs, boiled",Per 100 g,21,1.3,0.6,2.7,1.3,6,100,PH
D137,New Zealand spinach lvs,Per 100 g,33,3.3,0.5,3.7,2.3,88,100,PH
D138,"New Zealand spinach lvs, boiled",Per 100 g,28,1.4,0.3,4.9,1.9,146,100,PH
D139,Okra,Per 100 g,34,1.8,0.3,5.9,3.6,11,100,PH
D140,"Okra, boiled",Per 100 g,30,1.0,0.2,6.1,2.6,6,100,PH
D141,"Onion, Bombay bulb",Per 100 g,52,1.7,0.3,10.5,2.0,11,100,PH
D142,"Onion, Bombay bulb, boiled",Per 100 g,47,1.2,0.4,9.7,1.3,3,100,PH
D143,"Onion, garden shallot bulb",Per 100 g,68,1.7,0.5,14.1,2.7,12,100,PH
D144,"Onion, garden shallot bulb, boiled",Per 100 g,62,1.1,0.5,13.3,2.4,11,100,PH
D145,"Onion, garden shallot lvs",Per 100 g,37,1.7,1.0,5.4,2.1,3,100,PH
D146,"Onion, garden shallot lvs, boiled",Per 100 g,27,1.3,0.6,4.1,1.5,2,100,PH
D147,"Onion, spring",Per 100 g,41,1.8,0.5,7.2,2.6,30,100,PH
D148,"Onion, spring, boiled",Per 100 g,36,1.3,0.4,6.9,2.4,28,100,PH
D149,Pako fern lvs,Per 100 g,31,3.2,0.4,3.7,3.4,6,100,PH
D150,"Pako fern lvs, boiled",Per 100 g,33,1.9,0.4,5.5,3.4,6,100,PH
D151,"Palm-like fig, young lvs",Per 100 g,50,3.9,0.7,6.9,-,-,100,PH
D152,"Palm-like fig, young lvs, boiled",Per 100 g,19,1.2,0.2,3.2,-,-,100,PH
D153,Pansit-pansitan,Per 100 g,15,0.9,0.2,2.5,0.7,89,100,PH
D154,"Papaya fruit, unripe",Per 100 g,27,1.0,0.1,5.5,0.7,4,100,PH
D155,"Papaya, young lvs",Per 100 g,106,6.1,1.6,16.7,-,2,100,PH
D156,"Papaya, young lvs, boiled",Per 100 g,67,4.6,1.2,9.5,-,2,100,PH
D157,Papaya petioles,Per 100 g,27,0.6,0.2,5.8,0.8,1,100,PH
D158,"Papaya petioles, boiled",Per 100 g,24,0.7,0.2,4.9,0.7,1,100,PH
D159,Parsley lvs,Per 100 g,58,4.0,0.9,8.4,4.2,72,100,PH
D160,Pechay lvs,Per 100 g,22,2.1,0.4,2.6,1.2,13,100,PH
D161,"Pechay lvs, boiled",Per 100 g,21,1.7,0.5,2.4,1.1,12,100,PH
D162,Pechay petioles,Per 100 g,14,0.6,0.3,2.1,0.8,8,100,PH
D163,"Pechay petioles, boiled",Per 100 g,11,0.4,0.2,1.9,0.6,7,100,PH
D164,"Pepper, chili fruit",Per 100 g,75,4.8,2.2,9.0,3.5,14,100,PH
D165,"Pepper, chili lvs",Per 100 g,60,5.8,1.2,6.4,-,5,100,PH
D166,"Pepper, chili lvs, boiled",Per 100 g,52,1.8,0.3,10.5,-,4,100,PH
D167,"Pepper, sweet/bell long, green",Per 100 g,44,1.8,0.5,8.1,3.1,12,100,PH
D168,"Pepper, sweet/bell, long, green, boiled",Per 100 g,32,0.9,0.3,6.4,1.2,2,100,PH
D169,"Pepper, sweet/bell, long, red",Per 100 g,75,2.4,0.9,14.4,5.0,8,100,PH
D170,"Pepper, sweet/bell, round, green",Per 100 g,28,0.9,0.2,5.6,2.0,8,100,PH
D171,"Pepper, sweet/bell, round, green, boiled",Per 100 g,17,0.5,0.2,3.2,0.6,1,100,PH
D172,"Pepper, sweet/bell, round, red",Per 100 g,36,0.5,0.3,7.8,2.5,4,100,PH
D173,Philippine spinach lvs,Per 100 g,29,2.7,0.5,3.5,2.4,16,100,PH
D174,"Philippine spinach lvs, boiled",Per 100 g,23,0.8,0.2,4.6,1.8,12,100,PH
D175,Pigeon pea pod,Per 100 g,149,8.2,0.7,27.4,9.0,5,100,PH
D176,"Pigeon pea pod, boiled",Per 100 g,84,5.6,0.3,14.7,5.5,8,100,PH
D177,"Pigeon pea seed, fresh",Per 100 g,143,8.2,0.7,26.0,6.3,7,100,PH
D178,Malabar bauhinia lvs,Per 100 g,60,2.5,1.6,8.9,-,2,100,PH
D179,"Prickly chaff-flower, lvs",Per 100 g,59,6.4,1.0,6.2,4.1,47,100,PH
D180,Purslane lvs,Per 100 g,31,2.3,0.4,4.5,3.2,262,100,PH
D181,"Purslane lvs, boiled",Per 100 g,26,1.3,0.3,4.6,2.5,205,100,PH
D182,Racaba lvs,Per 100 g,58,3.3,1.0,8.9,-,-,100,PH
D183,Radish,Per 100 g,20,0.6,0.1,4.1,0.6,21,100,PH
D184,"Radish, boiled",Per 100 g,15,0.2,0.1,3.2,0.4,15,100,PH
D185,"Radish, pod",Per 100 g,33,1.7,0.1,6.2,2.1,8,100,PH
D186,"Rhubarb, young petioles",Per 100 g,27,0.6,0.5,5.1,-,-,100,PH
D187,Roselle lvs,Per 100 g,63,2.8,0.6,11.6,5.3,43,100,PH
D188,"Sabitan, lvs",Per 100 g,70,6.2,0.7,9.6,-,-,100,PH
D189,"Seaweed, gut weed, dried",Per 100 g,108,1.4,0.4,24.8,-,-,100,PH
D190,Sea purslane lvs,Per 100 g,25,1.8,0.4,3.6,2.7,225,100,PH
D191,"Sea purslane lvs, boiled",Per 100 g,36,1.0,0.2,7.5,3.7,308,100,PH
D192,"Seaweed, balbalulang",Per 100 g,23,0.4,0.3,4.6,-,-,100,PH
D193,"Seaweed, gamet, dried",Per 100 g,252,23.7,1.2,36.7,1.4,222,100,PH
D194,"Seaweed, kawkawayan",Per 100 g,67,2.2,1.5,11.2,-,-,100,PH
D195,"Seaweed, kulot",Per 100 g,24,0.6,0.4,4.6,-,-,100,PH
D196,"Seaweed, lato",Per 100 g,10,0.1,0.1,2.1,-,-,100,PH
D198,"Seaweed, pokpoklo",Per 100 g,14,1.2,0.2,1.8,-,-,100,PH
D199,Sesbania flower,Per 100 g,31,1.0,0.3,6.1,2.1,24,100,PH
D200,"Sesbania flower, boiled",Per 100 g,28,1.0,0.3,5.4,1.9,22,100,PH
D201,Sesbania lvs,Per 100 g,76,6.6,1.4,9.2,-,58,100,PH
D202,"Sesbania lvs, boiled",Per 100 g,51,6.0,0.8,4.9,-,40,100,PH
D203,Slender/Spineless amaranth lvs,Per 100 g,59,4.5,1.1,7.8,5.1,12,100,PH
D204,"Slender/Spineless amaranth lvs, boiled",Per 100 g,34,3.3,0.4,4.4,3.2,8,100,PH
D205,Snake gourd fruit,Per 100 g,18,0.6,0.0,4.0,0.3,7,100,PH
D206,"Snap bean pod, green",Per 100 g,36,2.0,0.1,6.8,2.6,2,100,PH
D207,"Snap bean pod, green, boiled",Per 100 g,27,0.8,0.1,5.6,2.0,1,100,PH
D208,"Snap bean pod, white",Per 100 g,31,1.9,0.2,5.3,2.2,2,100,PH
D209,"Snap bean pod, white, boiled",Per 100 g,14,1.0,0.1,2.3,1.1,0,100,PH
D210,"Snap bean seed, black & brown, fresh",Per 100 g,185,11.3,0.6,33.5,-,17,100,PH
D211,Snow/Sugar pea pod,Per 100 g,67,3.0,0.4,12.8,4.1,2,100,PH
D212,"Snow/Sugar pea pod, boiled",Per 100 g,40,1.5,0.4,7.6,2.5,4,100,PH
D213,"Soybean seed, fresh",Per 100 g,151,13.1,6.1,10.9,4.1,15,100,PH
D214,"Soybean seed, fresh, boiled",Per 100 g,144,12.4,6.4,9.3,4.0,13,100,PH
D215,"Spanish plum, young lvs",Per 100 g,66,4.5,1.2,9.3,-,4,100,PH
D216,"Spanish plum, young lvs, boiled",Per 100 g,39,1.9,0.6,6.4,-,2,100,PH
D217,Spiny pigweed/Thorny amaranth lvs,Per 100 g,63,5.5,0.9,8.2,5.7,13,100,PH
D218,"Spiny pigweed/Thorny amaranth lvs, boiled",Per 100 g,37,1.6,0.3,6.9,3.2,7,100,PH
D219,Sponge gourd fruit,Per 100 g,21,0.7,0.1,4.3,0.4,8,100,PH
D220,"Sponge gourd fruit, boiled",Per 100 g,16,0.4,0.4,2.7,0.3,6,100,PH
D221,Sponge gourd lvs,Per 100 g,37,4.0,0.6,3.9,-,16,100,PH
D222,"Sponge gourd lvs, boiled",Per 100 g,14,1.4,0.1,1.8,-,6,100,PH
D223,Squash flower,Per 100 g,33,1.9,0.5,5.2,-,5,100,PH
D224,"Squash flower, boiled",Per 100 g,19,0.4,0.1,4.1,-,3,100,PH
D225,Squash fruit,Per 100 g,68,1.2,0.2,15.3,1.6,8,100,PH
D226,"Squash fruit, boiled",Per 100 g,47,0.4,0.2,10.8,1.1,5,100,PH
D227,Squash lvs,Per 100 g,38,3.4,0.6,4.8,-,6,100,PH
D228,"Squash lvs, boiled",Per 100 g,27,1.6,0.4,4.2,-,4,100,PH
D229,"Squash, summer fruit",Per 100 g,21,0.6,0.2,4.3,0.8,5,100,PH
D230,String/Yard long bean lvs,Per 100 g,44,4.2,0.4,6.0,2.3,39,100,PH
D231,"String/Yard long bean lvs, boiled",Per 100 g,27,2.1,0.2,4.3,1.4,23,100,PH
D232,"String/Yard long bean pod, green",Per 100 g,38,2.7,0.3,6.2,3.7,5,100,PH
D233,"String/Yard long bean pod, green, boiled",Per 100 g,52,4.0,0.5,7.9,2.7,4,100,PH
D234,"String/Yard long bean pod, red",Per 100 g,44,2.8,0.2,7.8,4.3,6,100,PH
D235,"String/Yard long bean pod, red, boiled",Per 100 g,35,1.5,0.2,6.7,1.9,3,100,PH
D236,"String/Yard long bean pod, white",Per 100 g,47,2.2,0.3,8.8,4.5,6,100,PH
D237,"String/Yard long bean pod, white, boiled",Per 100 g,23,1.4,0.1,4.1,1.2,2,100,PH
D238,"String/Yard long bean seed, green, fresh",Per 100 g,119,9.2,0.8,18.8,3.6,6,100,PH
D239,"String/Yard long bean seed, green, fresh, boiled",Per 100 g,119,12.7,0.4,16.1,3.7,5,100,PH
D240,"Sugar palm, heart of palm",Per 100 g,38,1.3,0.5,7.0,0.5,4,100,PH
D241,Swamp amaranth lvs,Per 100 g,52,5.1,0.2,7.5,4.9,12,100,PH
D242,Swamp cabbage lvs,Per 100 g,39,3.3,0.4,5.5,3.8,114,100,PH
D243,"Swamp cabbage lvs, boiled",Per 100 g,28,1.5,0.4,4.7,2.6,78,100,PH
D244,Sweet potato lvs,Per 100 g,49,3.9,0.5,7.2,5.0,9,100,PH
D245,"Sweet potato lvs, boiled",Per 100 g,29,1.1,0.7,4.6,2.7,5,100,PH
D246,"Sweet potato lvs, purple",Per 100 g,69,4.7,0.6,11.3,7.1,13,100,PH
D247,"Sweet potato lvs, purple, boiled",Per 100 g,24,1.8,0.3,3.5,2.5,5,100,PH
D248,Tamarind flower,Per 100 g,86,2.5,1.8,15.0,5.5,6,100,PH
D249,Tamarind lvs,Per 100 g,80,3.9,1.0,13.9,7.0,5,100,PH
D250,"Tamarind lvs, boiled",Per 100 g,54,2.4,0.5,9.9,4.7,3,100,PH
D251,Ivy gourd lvs,Per 100 g,49,4.9,1.5,3.9,3.0,11,100,PH
D252,"Ivy gourd lvs, boiled",Per 100 g,49,3.5,0.8,7.0,3.4,13,100,PH
D253,Taro lvs,Per 100 g,73,4.3,1.8,10.0,4.8,11,100,PH
D254,"Taro lvs, boiled",Per 100 g,48,1.4,0.4,9.7,3.1,7,100,PH
D255,Taro petioles,Per 100 g,21,0.3,0.2,4.6,1.6,5,100,PH
D256,"Taro petioles, boiled",Per 100 g,15,0.2,0.1,3.2,1.0,3,100,PH
D257,Tomato,Per 100 g,25,0.8,0.1,5.2,0.3,11,100,PH
D258,"Tomato, boiled",Per 100 g,25,0.4,0.1,5.6,0.3,11,100,PH
D259,"Tomato, Spanish, ripe",Per 100 g,64,2.3,0.4,12.9,0.8,28,100,PH
D260,Yam bean,Per 100 g,45,1.1,0.2,9.8,5.6,4,100,PH
D261,"Yam bean, pod",Per 100 g,52,2.6,0.3,9.6,3.2,12,100,PH
D263,"Water caltrop, boiled",Per 100 g,226,9.4,0.1,46.8,-,-,100,PH
D264,Water chestnut,Per 100 g,176,2.3,0.7,40.3,5.0,84,100,PH
D265,"Water chestnut, boiled",Per 100 g,246,2.7,0.1,58.6,-,-,100,PH
D268,Watercress,Per 100 g,26,1.0,0.3,4.8,0.7,55,100,PH
D269,Wax gourd fruit,Per 100 g,20,0.4,0.3,3.8,3.6,6,100,PH
D270,"Wax gourd fruit, boiled",Per 100 g,13,0.1,0.1,3.0,0.9,4,100,PH
D271,Wild ginger,Per 100 g,32,2.1,0.4,5.0,0.8,5,100,PH
D272,Winged bean pod,Per 100 g,31,2.0,0.3,5.1,3.1,8,100,PH
D273,"Winged bean pod, boiled",Per 100 g,35,1.6,0.3,6.4,3.5,9,100,PH
D274,"Asparagus, cnd",Per 100 g,30,1.6,0.4,5.1,2.2,386,100,PH
D275,"Bamboo shoot, cnd",Per 100 g,18,1.1,0.4,2.6,1.1,6,100,PH
D276,"Bamboo shoot, dried",Per 100 g,357,17.1,1.4,69.0,25.9,49,100,PH
D277,"Black wood ear mushroom, dried",Per 100 g,325,8.4,0.5,71.6,29.5,110,100,PH
D278,"Cucumber, salted, cnd",Per 100 g,37,2.9,0.2,5.8,3.9,3959,100,PH
D279,"Mushroom, cnd",Per 100 g,23,2.3,0.4,2.5,1.7,305,100,PH
D280,"Mushroom, dried",Per 100 g,331,16.0,0.9,64.6,10.8,12,100,PH
D281,"Mustard lvs, pickled",Per 100 g,16,1.4,0.1,2.3,1.1,667,100,PH
D282,"Mustard lvs, salted",Per 100 g,28,1.9,1.0,2.9,2.6,1582,100,PH
D283,"Olive, green, in brine",Per 100 g,132,1.3,12.6,3.4,3.2,1498,100,PH
D284,"Olive, ripe, in brine",Per 100 g,158,1.0,16.0,2.6,3.5,812,100,PH
D285,"Papaya fruit, unripe, dried",Per 100 g,335,6.7,0.6,75.7,9.2,122,100,PH
D286,Pickle relish,Per 100 g,145,0.3,0.9,33.9,1.1,798,100,PH
D287,"Pickles, mixed",Per 100 g,163,0.2,3.1,33.5,1.6,732,100,PH
