,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size
611,Caramel macchiato,Cup (500g),523.85,17.3,26.3,50,0.3,217.1,500
612,"Caramels, confectionery",Whole (12g),46.51,0.3,1.37,8.94,0.18,30,12
613,Caraway seed,Tablespoon (6.7g),22.31,1.32,0.98,3.34,2.55,1.14,6.7
614,Carbonara,1 portion (394g),744.66,20.88,44.72,64.22,4.73,1083.5,394
615,Cardamon seeds,Tablespoon (6g),18.69,0.65,0.4,4.11,1.68,1.08,6
616,"Carp, big head, raw, freshwater",Slice (364g),258.7,33.23,13.86,0.41,0,101.92,364
617,"Carp, common, freshwater, raw",Slice (285g),121.63,21.34,2.87,2.6,0,91.66,285
618,"Carp, freshwater, raw",Slice (104g),60.37,7.74,3.04,0.54,0,10.29,104
619,"Carp, grass, freshwater, raw",Slice (99g),62.46,10.21,2.4,0,0,29.59,99
620,"Carp, Javanese, freshwater, raw",Piece (121g),97.16,10.78,5.99,0.07,0,27.29,121
622,Carrot cake,Piece (133g),571,5.4,35.5,60.8,1.7,310,133
623,"Carrot cake with egg, plain, mashed & fried",Plate-20cm (350g),402.5,12.25,32.55,15.4,5.6,1326.5,350
624,Carrot juice,Cup (294g),91.14,1.18,0.59,19.99,2.06,194.04,294
625,Carrot soup with potato and pork ribs,Bowl-soup (16 and 1/2 cm) (765.6g),275.12,29.71,8.91,18.57,5.94,1514.97,765.6
626,"Carrot, boiled",Whole (big) (206g),92.7,2.25,0.37,21.59,6.8,135.96,206
627,"Carrot, cauliflower, snow peas, and mushroom, stir fried",Plate-23cm (310.6g),220.48,7.14,15.53,12.73,9.63,1143.01,310.6
628,"Carrot, dehydrated",Cup (74g),250.12,5.85,1.63,47.14,9.77,198.32,74
629,"Carrot, green apple, orange juice",Cup (407g),65.12,0.81,0,15.06,0,86.69,407
630,"Carrot, mature, raw, peeled",Whole (162.37g),43.58,1.1,0.14,6.9,5.38,55.21,162.37
631,"Carrots, baby, raw",Piece (10g),3.5,0.06,0.01,0.53,0.29,7.8,10
632,"Cashew leaf, raw",Cup (45g),10.87,1.18,0.06,1.4,0.62,2.17,45
633,Cashew nut cookies,Piece (12g),62.04,0.94,3.16,7.49,0.22,34.44,12
634,"Casserole base, dry mix",Packet (48g),179.04,3.41,2.35,34.7,2.83,1707.36,48
635,"Castella cake, cheese-flavoured",Whole (597g),1629.81,61.49,88.18,147.46,5.97,1910.4,597
636,"Catfish eel, fried",Piece (60g),129.57,14.64,7.24,1.43,0.15,46.92,60
638,"Catfish, freshwater, raw",Piece (51g),42.96,4.48,2.65,0.29,0,8.08,51
639,"Catfish, giant, sea, raw",Whole (488g),159.87,37.51,0.41,1.43,0,170.12,488
640,"Catfish, river, raw",Whole (210g),94.12,20.19,1.02,1.02,0,17.01,210
641,Cauliflower masala,Plate-16cm (122.87g),52.83,1.97,3.93,2.46,2.7,325.61,122.87
642,Cauliflower with potatoes and tomatoes,Plate-20cm (353g),296.52,4.59,19.77,25.77,7.06,631.87,353
643,"Cauliflower, boiled, drained",Cup (124g),28.52,2.28,0.56,5.1,3.35,18.6,124
644,"Cauliflower, raw",Whole (575g),184.16,18.4,0,27.6,12.65,327.75,575
645,Cayenne pepper,Tablespoon (5.3g),16.85,0.64,0.92,3,1.44,1.59,5.3
646,Celery juice,Cup (249g),29.76,1.49,0.25,2.99,0,219.12,249
647,"Celery, Dehydrated",Gram (1g),2.87,0.12,0.02,0.53,0.12,15.77,1
648,"Celery, raw",Stalk (40g),3.47,0.32,0.03,0.51,0.63,12.01,40
649,Century egg,Whole (115g),96.77,8.15,5.45,3.81,0,225.8,115
650,Century egg porridge,Bowl-soup (16 and 1/2 cm) (512.36g),224.52,11.43,4.71,34.12,2.51,834.43,512.36
651,Cereal,Tablespoon (10g),39,0.8,1,6.7,0.4,83,10
652,Cereal prawn,Plate-20cm (450g),1107,93.6,80.1,3.15,12.6,2578.5,450
653,"Cereal, puffed rice with cocoa coating",Cup (45g),165.9,2.12,0.68,38.12,0.27,266.4,45
654,"Cereal, rice and wheat flakes, sweetened",Cup (35g),128.95,6.65,0.77,23.24,0.91,190.4,35
655,"Cereal, wheat bran flakes",Cup (39g),132.99,4.68,1.01,23.13,6.32,148.2,39
656,"Cereal, wheat bran pellets",Cup (65g),206.97,8.71,3.19,26.65,19.5,422.5,65
657,"Cereals, ready-to-eat, muesli, dried fruit and nuts",Cup (85g),289,8.25,4.17,59.93,6.21,196.35,85
658,Chai bei,Bowl-rice (11and 1/2 cm) (195g),386.1,7.22,39.2,0.98,13.07,1195.35,195
659,Champagne,Glass (250ml) (150g),96.8,0.3,0,1.5,0,15,150
660,"Champignon, canned in brine, heated, drained",Piece (10g),1.58,0.14,0.01,0.16,0.3,38,10
661,"Chao san si, canned",Can (188g),344.04,14.85,27.07,10.34,3.2,3214.8,188
662,Chao sheng mian,Plate-23cm (470g),536.59,23.66,25.07,54.07,4.92,1194.46,470
663,chapati,Piece (46g),143.38,3.08,5.01,21.48,3.17,119.14,46
664,char kway teow,Plate-23cm (384g),744.96,22.66,38.4,76.03,7.3,1459.2,384
665,Char siew,1 portion (80g),204.02,22.88,10.16,4.96,0,380.8,80
666,Char siew chee cheong fun,Piece (80.5g),65.03,2.01,1.29,11.27,1.85,204.47,80.5
667,Char siew fried rice,Plate-23cm (418g),508.29,15.88,20.06,66.04,4.18,1621.84,418
668,Char siew rice,Plate-23cm (327g),604.95,23.54,16.35,91.23,5.89,879.63,327
669,Char siew soh,Piece (44g),165.44,4.18,11.09,12.23,0.84,156.2,44
670,Chasoba,Bowl-soup (16 and 1/2 cm) (275g),170.23,9.98,1.98,28.11,2.67,556.88,275
671,Chawamushi,Bowl-rice (11and 1/2 cm) (124g),115.82,8.44,7.94,2.64,0.72,329.22,124
672,Chee cheong fun,Piece (101.33g),133.2,2.53,2.23,25.64,1.22,271.56,101.33
673,Chee pah,Piece (55g),166.1,4.46,4.18,27.67,0.44,22,55
674,Cheese and ham bun,Piece (85g),250.75,9.86,9.95,30.6,3.4,587.35,85
675,Cheese bun,Piece (56g),199.92,6.16,7.67,26.6,1.23,265.44,56
676,"Cheese cake, Fiesta",Slice (61g),173.85,5.73,11.96,10.74,0.18,96.99,61
677,"Cheese foam bubble tea, no topping, 0% sugar - LiHo",Cup (389g),182.83,3.11,15.56,7.78,0.78,313.15,389
678,Cheese naan,1 piece (100g),332,16,9,50,7,410,100
679,Cheese plate,100g,408,14.5,21.1,42.2,5.3,659,100
680,Cheese prata bomb,Piece (358g),895,18.97,51.23,89.86,2.51,2026.28,358
681,"Cheese sausage, cooked",Piece (35g),105.7,5.43,8.44,2.1,0.39,282.1,35
682,"Cheese slices, reduced fat",Slice (20g),40.2,4.72,1.86,1.16,0,247,20
683,"Cheese spread, cream cheese",Tablespoon (24g),83.43,2.66,7.92,0.67,0,299.76,24
684,"Cheese spread,cheddar",Tablespoon (24g),69.59,3.82,5.93,0.41,0,339.84,24
685,Cheese taiyaki,Piece (76g),182.02,5.85,3.88,30.93,1.22,357.2,76
686,Cheese Tart,Piece (80g),296.8,5.2,18.58,27.12,0.8,112,80
687,"Cheese tofu, uncooked",Piece (25g),51.75,2.7,3.85,1.58,0.3,205.5,25
688,"Cheese, blue vein, commercial",Wedge/Chunk (22g),81.26,4.47,7.13,0,0,239.58,22
689,"Cheese, brie",Wedge/Chunk (20g),67.21,3.86,5.82,0.02,0,120.8,20
690,"Cheese, camembert",Wedge/Chunk (20g),60.29,3.9,5,0.02,0,122,20
691,"Cheese, cheddar",Cube/Square (16g),64.08,4.14,5.33,0,0,105.92,16
692,"Cheese, cheddar, processed",Slice (21g),64.14,4.39,5.23,0.02,0,279.51,21
693,"Cheese, cheddar, reduced fat",Cube/Square (16g),53.67,4.62,3.87,0,0,88,16
694,"Cheese, cheddar, reduced fat, reduced salt",Cube/Square (16g),55.2,4.66,4.06,0.02,0,48,16
695,"Cheese, cheddar, reduced salt",Cube/Square (16g),65.28,3.9,5.6,0,0,59.2,16
696,"Cheese, cheedam",Cube/Square (16g),56.29,4.13,4.45,0.05,0,128,16
697,"Cheese, cheshire",Cube/Square (16g),61.82,3.87,5.2,0,0,92.8,16
698,"Cheese, colby",Cube/Square (16g),61.44,3.84,5.17,0.02,0,95.2,16
699,"Cheese, cottage",Tablespoon (20g),29.21,3.06,1.86,0.08,0,40,20
700,"Cheese, cottage, creamed",Tablespoon (20g),24.07,3.08,1.14,0.38,0,55.4,20
701,"Cheese, cottage, low fat",Tablespoon (20g),17.97,3.54,0.24,0.38,0,25.8,20
702,"Cheese, cotto",Wedge/Chunk (15g),31.76,4.16,1.68,0.02,0,112.5,15
703,"Cheese, cream",Tablespoon (20g),64.98,1.64,6.38,0.5,0,67.2,20
704,"Cheese, edam",Cube/Square (16g),53.61,4.22,4.12,0,0,143.31,16
705,"Cheese, fruit",Wedge/Chunk (22g),64.52,1.74,5.13,3.15,0,58.52,22
706,"Cheese, gloucester",Cube/Square (16g),64.82,4,5.49,0,0,99.2,16
707,"Cheese, gouda",Cube/Square (16g),58.02,4.01,4.7,0,0,107.67,16
708,"Cheese, haloumy",Cube/Square (16g),39.2,3.41,2.74,0.29,0,464,16
709,"Cheese, havarti",Wedge/Chunk (16g),64.65,3.1,5.87,0.02,0,96,16
710,"Cheese, mozzarella",Tablespoon (20g),61.44,5.2,4.5,0.14,0,91.8,20
711,"Cheese, mozzarella, reduced fat",Tablespoon (20g),57.56,6.34,3.58,0.02,0,116,20
712,"Cheese, Neufchatel",Slice (22g),70.42,2.07,6.8,0.48,0,72.6,22
713,"Cheese, nimbin",Cube/Square (16g),63.63,3.86,5.42,0,0,41.6,16
714,"Cheese, parmesan",Tablespoon (20g),88.38,7.62,6.54,0.02,0,287.2,20
715,"Cheese, pecorino",Slice (18g),63.99,5.04,4.9,0.04,0,170.64,18
716,"Cheese, pepato",Wedge/Chunk (20g),76.24,5.2,6.22,0.02,0,252.6,20
717,"Cheese, pizza",Tablespoon (20g),62.25,5.76,4.38,0.02,0,143,20
718,"Cheese, provolone",Slice (17g),61.98,4.73,4.83,0.02,0,170,17
719,"Cheese, quark",Tablespoon (20g),26.82,2.16,1.92,0.28,0,19.6,20
720,"Cheese, quark, low fat",Tablespoon (20g),15.45,2.78,0.22,0.58,0,32,20
721,"Cheese, raclette",Slice (16g),58.85,4,4.82,0,0,139.2,16
722,"Cheese, ricotta",Tablespoon (20g),29.45,2.1,2.26,0.24,0,39.6,20
723,"Cheese, ricotta, reduced fat",Tablespoon (20g),25.12,2.02,1.74,0.4,0,37,20
724,"Cheese, romano",Tablespoon (10g),37.51,3.13,2.79,0.02,0,104,10
725,"Cheese, samsue",Cube/Square (16g),62.14,3.73,5.31,0,0,124.8,16
726,"Cheese, steppen",Cube/Square (16g),51.59,4.05,3.97,0.02,0,128,16
727,"Cheese, swiss",Slice (18g),68.75,5.15,5.4,0,0,86.76,18
728,"Cheese, tilsit",Cube/Square (16g),59.24,4.19,4.77,0.02,0,144,16
729,"Cheeseburger, Burger King",Whole (133g),380.38,19.95,19.7,27.81,3.72,775.39,133
730,"Cheeseburger, McDonalds'",Whole (114g),297.54,13.68,12,33,3,720.48,114
731,Cheesecake,Slice (98g),335.03,6.27,21.76,29.6,0.59,264.6,98
732,"Cheesecake, baked",Slice (68g),216.92,5.24,15.84,13.26,1.63,134.64,68
734,Chendol,Bowl-dessert (15 cm) (420g),386.4,5.52,14.72,58.88,4.05,195.04,420
735,Chendol (2018),Bowl-dessert (15 cm) (420g),277.2,5.04,9.37,43.26,6.3,234.78,420
736,"Chendol, durian",Bowl-dessert (15 cm) (398g),408.75,5.73,19.22,53.25,10.35,169.15,398
737,"Chendol, mango",Bowl-soup (16 and 1/2 cm) (383g),333.21,4.98,14.17,46.73,4.6,210.65,383
738,Cheng tng,Bowl-rice (11and 1/2 cm) (400g),188,2,0,41.2,2,20,400
739,Cheng tng (2018),Bowl-dessert (15 cm) (371g),126.14,1.11,0.26,30.05,1.11,13.54,371
740,"Cherries, sweet, raw",Cup (150g),85.05,1.43,0.27,21.61,2.84,0,150
741,Cherry tomatoes,Whole (15g),2.3,0.1,0,0.3,0.3,1.47,15
742,"Cherry, canned in syrup",Cup (257g),173.22,1.54,0.51,44.46,3.08,7.71,257
743,"Chic Delite 10"" Regular Crispy Thin Pizza, Pizzahut",Whole (61g),140.3,9.15,4.1,14.51,2.1,323.91,61
744,"Chick peas, with tomato and chilli, stir fried (Indian)",Plate-16cm (124.86g),129.35,7.49,6.09,11.14,6.99,279.06,124.86
745,Chicken and cheese crepe,1 portion (205g),401.37,27.86,20.71,25.3,1.64,702.62,205
746,Chicken and Mushroom Bun,Piece (93g),246.45,10.23,9.88,29.11,1.67,372.93,93
747,Chicken and mushroom noodles soup,Bowl-soup (16 and 1/2 cm) (653g),346.09,28.73,6.53,43.75,4.57,1782.69,653
748,"Chicken ball, raw",Packet (190g),342,25.65,17.86,20.14,3.8,1362.3,190
749,Chicken banh mi,Whole (212g),392.2,19.93,19.61,33.92,4.45,930.68,212
750,Chicken briyani,Plate-23cm (400g),718.58,31.92,28.5,83.6,6.84,1356.6,400
751,Chicken burger,Whole (169g),432.64,17.75,22.6,39.72,2.03,1177.93,169
752,Chicken burrito,1 portion (248g),443.92,24.4,15.92,44.91,5.95,1398.72,248
753,Chicken chop,1 portion (340g),679,51.5,30.58,49.87,6.97,655.2,340
754,Chicken chop with fried rice,Plate-23cm (489g),4800.81,300.49,239.41,356.09,9.54,10504.84,489
755,"Chicken croquette, deep fried, commercial",Whole (55g),146.96,5.72,9.68,9.41,0,170.5,55
756,Chicken curry,Bowl-soup (16 and 1/2 cm) (706g),966.87,52.15,61.53,50.98,14.65,1722.78,706
757,Chicken curry noodles,Bowl-soup (16 and 1/2 cm) (532g),694.52,31.48,44.61,41.82,6.41,2219.89,532
758,"Chicken Curry Pizza, Pizza Hut",Slice (80g),163.2,10.48,7.52,13.44,1.28,426.4,80
759,"Chicken curry, vegetarian, canned",Can (291g),264.81,20.66,13.97,13.97,5.82,2589.9,291
760,"Chicken Drumlets, Pizza Hut",Piece (35g),51.03,5.57,2.9,0.65,0.27,185.22,35
761,chicken feet noodles soup,Bowl-soup (16 and 1/2 cm) (628g),452.16,25.12,15.7,53.38,4.4,1997.04,628
762,Chicken floss,1 portion (30g),128.09,9.81,5.22,10.46,0,752.97,30
763,"Chicken franks, steamed",Piece (34g),76.5,4.42,5.68,1.97,0.44,363.46,34
764,Chicken gimbap,1 portion (275g),352,18.15,9.1,49.5,4.4,1273.25,275
765,Chicken katsu curry omurice,Plate-23cm (646g),1124.04,55.56,64.34,80.75,4.52,2551.7,646
766,Chicken katsu don,Bowl-soup (16 and 1/2 cm) (626g),920.22,41.32,40.82,97.66,5.63,2241.08,626
767,Chicken katsu with japanese curry and rice,Bowl-soup (16 and 1/2 cm) (300g),576,30,36,33.3,4.5,1569,300
768,chicken kebab,Piece (230g),547.4,40.71,22.77,44.62,4.14,752.1,230
769,chicken kurma,Bowl-soup (16 and 1/2 cm) (348g),620.83,53.73,43.85,2.78,4.84,1177.98,348
770,Chicken macaroni soup,Bowl-soup (16 and 1/2 cm) (483g),198.56,15.46,1.45,30.91,0.97,1709.82,483
771,Chicken masala,Plate-16cm (455g),859.95,86.91,49.6,15.93,0,2329.6,455
772,Chicken massaman curry,100g,194,10.3,11,12.7,1.7,313,100
773,Chicken murtabak,Piece (500g),765,36,32,83.5,21,2470,500
774,"Chicken mushroom chowder, Pizza Hut (NNS)",1 portion (240g),192,7.2,10.56,13.68,3.36,813.6,240
775,Chicken nugget,Piece (20g),57.6,2.8,3.3,4.2,0.1,129.8,20
776,"Chicken nuggets, McDonald's",Piece (17g),55.25,3.06,2.5,2.67,0.17,88.4,17
777,Chicken opor,Bowl-soup (16 and 1/2 cm) (406g),599.26,44.21,43.12,8.4,0,1794.11,406
778,Chicken patty,Whole (76g),156.58,13.68,8.74,5.78,0.99,184.68,76
779,Chicken Pau,Whole (91g),214.76,8.1,10.19,22.75,1.37,250.25,91
780,Chicken pho,Bowl-soup (16 and 1/2 cm) (784g),352.8,23.52,5.25,53.31,5.49,2328.48,784
781,chicken pie,Piece (93g),311.55,8.93,18.14,28.09,1.95,321.78,93
782,"Chicken plank dinner, Long John Silver's",1 portion (57g),120,7.98,5.99,11,3,400,57
783,Chicken pongteh,Plate-16cm (125.79g),132.38,9.43,9.31,2.72,0.82,189.29,125.79
784,Chicken porridge,Bowl-soup (16 and 1/2 cm) (510.8g),181.33,11.75,5.62,20.94,0.01,1307.65,510.8
785,Chicken pratal with coconut milk,Bowl-soup (16 and 1/2 cm) (190g),349.6,20.14,26.6,7.79,6.65,915.8,190
786,Chicken quesadilla,1 serving (158g),514,22.5,26.5,45.8,3.2,1020,158
787,Chicken rendang,Plate-16cm (116g),252.29,19.84,16.94,4.87,0.35,741.24,116
788,Chicken rice,Bowl-soup (16 and 1/2 cm) (295g),466.1,6.2,7.67,92.93,5.9,820.1,295
789,"Chicken rice, with roasted chicken",1 portion (330g),524.72,21.78,19.75,64.47,1.74,1112.23,330
790,"Chicken rice, with skin removed",Plate-23cm (365g),634.92,25.72,21.75,84.1,3.15,1035.54,365
791,"Chicken rice, with steamed chicken",Packet (330g),557.7,28.05,13.86,80.19,3.3,697.95,330
792,Chicken sambal,Plate-16cm (115.17g),163.65,18.18,9.61,1.11,1.25,220.39,115.17
793,"Chicken Sandwich, Burger King",Whole (232g),663.52,30.16,35.73,50.92,5.57,1067.2,232
794,Chicken satay,Stick (9g),21.36,2.46,0.49,1.8,0,23.13,9
795,Chicken skewers,1 serving (84g),89.9,16,2,1,0,550,84
796,Chicken soup,Bowl-soup (16 and 1/2 cm) (534g),145.1,23.8,5.4,0.5,0.6,909.11,534
797,Chicken stock,Bowl-rice (11and 1/2 cm) (250g),16.5,2.75,0.5,0,0,315,250
798,"Chicken Tenders, Burger King",Whole (78g),225.42,13.26,13,11.79,1.79,623.22,78
799,"Chicken thigh, skinless, boneless, raw",Piece (69g),82.11,12.63,3.45,0,0,42.78,69
800,Chicken tikka,Piece (71.13g),173.06,23.92,8.33,0.6,0.86,187.21,71.13
801,"Chicken wing, with liver and gizzard, braised",Plate-20cm (282.83g),488.73,41.63,33.94,3.62,2.04,669.74,282.83
802,Chicken wings,Piece (32g),93.8,6.9,5.8,3.5,0.2,115.52,32
803,Chicken wrap,Whole (213g),405,24,18,37,3,1050,213
804,"Chicken, boneless, unspecified cut, baked, lean and fat",Whole (268g),661.03,68.07,43.68,0,0,198.32,268
805,"Chicken, boneless, unspecified cut, baked, lean only",Whole (213g),398.61,60.28,17.25,0,0,174.66,213
806,"Chicken, breaded, nugget",Piece (75g),207,10.42,13.55,8.99,1.8,318,75
807,"Chicken, breast quarter, rotisseried, commercial, lean and skin",Whole (150g),216.42,25.02,12.36,1.31,0,180.9,150
808,"Chicken, breast, baked, lean and skin",Whole (120g),212.1,25.27,12.34,0,0,57.35,120
809,"Chicken, breast, baked, lean only",Whole (120g),120.69,22.97,3.09,0,0,36.43,120
810,"Chicken, breast, battered, fried, lean and skin",Whole (140g),364,34.78,18.48,12.59,0.42,385,140
811,"Chicken, breast, boiled, lean only",Cup (140g),211.4,40.57,4.24,0,0,88.2,140
812,"Chicken, breast, boneless, boiled, lean and skin",Piece (130g),239.2,35.61,9.65,0,0,80.6,130
813,"Chicken, breast, breaded, baked, lean and skin",Whole (98g),217.56,31.2,8.69,1.61,0.1,74.48,98
814,"Chicken, breast, fried, skinless",Piece (120g),224.4,40.13,5.65,0.61,0,94.8,120
815,"Chicken, breast, KFC, hot and crispy",Piece (160g),355.26,27.66,24.2,12.38,1.6,666.85,160
816,"Chicken, breast, KFC, original recipe",Piece (178g),346.64,37.26,19.6,9.18,1.13,761.31,178
817,"Chicken, breast, raw, lean and skin",Whole (180g),237.01,28.94,13.54,0,0,56.16,180
818,"Chicken, breast, raw, lean only",Whole (180g),116.93,24.89,1.79,0,0,45.76,180
819,"Chicken, broiler or fryer, unspecified cut, raw, meat and skin",Whole (1262g),1845.95,159.62,129.58,0,0,600.71,1262
820,"Chicken, broiler or fryer, unspecified cut, raw, meat only",Whole (1262g),721.01,129.63,18.78,0,0,466.44,1262
821,"Chicken, broiler or fryer, unspecified cut, raw, skin only",Piece (79g),275.48,10.51,25.44,0,0,49.77,79
822,"Chicken, broilers or fryers, drumstick, meat and skin, cooked, stewed",Whole (84g),94.25,11.7,4.92,0,0,35.11,84
823,"Chicken, broilers or fryers, wing, meat only, cooked, fried, KFC (NNS)",1 portion (172g),321.64,57.52,8.1,0.88,0,135.88,172
824,"Chicken, colonel's crispy strips, KFC",Gram (1g),3.23,0.19,0.19,0.19,0.01,8.65,1
825,"Chicken, deep fried, Malay style",Piece (80g),140.56,15.81,8.58,0,0,227.76,80
826,"Chicken, deep fried, skinless",Piece (206g),290.46,40.63,14.21,0,0,676.71,206
827,"Chicken, drumstick, baked, lean and skin",Whole (85g),105.24,12.84,6.01,0,0,40.21,85
828,"Chicken, drumstick, baked, lean only",Whole (85g),76.16,11.69,3.23,0,0,35.7,85
829,"Chicken, drumstick, boiled, lean only",Whole (95.8g),77.71,12.65,2.63,0,0,36.79,95.8
830,"Chicken, drumstick, flour coated, fried, lean and skin",Whole (74.24g),120.05,13.21,6.72,0.8,0.05,43.61,74.24
831,"Chicken, drumstick, fried, lean only",Whole (95.5g),81.94,12.03,3.4,0,0,40.34,95.5
832,"Chicken, drumstick, hot and crispy, KFC",Piece (86g),167.81,13.59,12.8,5.92,0.2,246.62,86
833,"Chicken, drumstick, raw, lean and skin",Whole (115g),113.56,12.95,6.84,0,0,49.31,115
834,"Chicken, drumstick, raw, lean only",Whole (115g),73.09,11.49,2.98,0,0,44.09,115
835,"Chicken, feet, raw",Piece (77g),89.66,11.34,4.92,0,0,47,77
836,"Chicken, fried",1 portion (316g),530.88,84.06,22.44,0,0,1153.4,316
837,"Chicken, fried & ran through water",1 portion (355g),397.6,80.94,8.52,0,0,710,355
838,"Chicken, fried, spicy, drumstick, meat w skin & breading, Popeyes",1 portion (63g),100,9,5,3,0,230,63
839,"Chicken, gizzard, raw",Piece (23g),22.1,3.8,0.62,0.3,0,15.18,23
840,"Chicken, ground, raw",Cup (112g),160.16,19.53,9.07,0.04,0,67.2,112
841,"Chicken, heart, boiled",Whole (8.22g),15.21,2.17,0.65,0.01,0,3.95,8.22
842,"Chicken, heart, raw",Whole (10.67g),11.42,1.65,0.53,0,0,10.35,10.67
843,"Chicken, herbal tonic",Bowl-soup (16 and 1/2 cm) (683g),753.01,81.96,43.54,8.71,4.1,2453.68,683
844,"Chicken, intestine, raw",Piece (5.11g),7.35,0.42,0.63,0,0,1.12,5.11
845,"Chicken, leg quarter, rotisseried, commercial, lean and skin",Whole (150g),267.85,24.75,18.41,1.09,0,188.1,150
846,"Chicken, liver, boiled",Cup (153.89g),241.61,37.49,8.39,1.35,0,78.48,153.89
847,"Chicken, liver, raw",Piece (40.45g),46.89,7.77,1.33,0.97,0,29.12,40.45
848,"Chicken, matured, dressed, carcass, raw, lean and skin",Whole (1280g),1317.02,199.81,57.34,0,0,1012.48,1280
849,"Chicken, matured, raw, dressed carcass, lean only",Whole (1371g),783.28,140.83,20.4,0,0,506.72,1371
850,"Chicken, neck, boiled, lean and skin",Piece (54.2g),91.03,7.23,6.67,0,0,19.17,54.2
851,"Chicken, neck, raw, lean and skin",Piece (49.11g),81.68,3.87,7.22,0,0,17.6,49.11
852,"Chicken, nuggets, Long John Silver's",Piece (20g),46.8,1.54,3,3.6,0,56.8,20
853,"Chicken, roasted, skinless",One quarter (202g),245.25,37.72,10.47,0,0,392.97,202
854,"Chicken, skin, baked",Whole (55g),239.21,12.27,21.4,0,0,42.9,55
855,"Chicken, thigh, boiled, lean and skin",Whole (89.5g),157.81,15.82,10.03,0,0,48.29,89.5
856,"Chicken, thigh, boiled, lean only",Whole (76.64g),107.6,13.8,5.4,0,0,41.39,76.64
857,"Chicken, thigh, hot and crispy, KFC",Piece (142g),347.15,22.24,27.01,11.4,1.11,522.57,142
858,"Chicken, thigh, original recipe, KFC",Piece (128g),286.2,22.27,20.6,9.05,1.22,467.71,128
859,"Chicken, thigh, raw, lean and skin",Whole (175g),300.14,23.21,23.07,0,0,70.98,175
860,"Chicken, thigh, roasted, lean and skin",Piece (81g),154.05,15.63,9.66,0,0,52.39,81
861,"Chicken, thigh, roasted, lean only",Piece (81g),109.98,13.64,5.74,0,0,46.33,81
862,"Chicken, unspec cut, rotisseried, commercial, lean and skin",Whole (295g),471.86,48.48,29.98,2.34,0,360.2,295
863,"Chicken, wing, boiled, lean and skin",Whole (86.44g),111.92,10.24,7.56,0,0,30.12,86.44
864,"Chicken, wing, hot and crispy, KFC",Piece (58g),144.58,8.82,13.3,4.56,0,205.85,58
865,"Chicken, wing, original recipe, KFC",Piece (53g),119.23,8.86,9.9,4.03,0,227.18,53
866,"Chicken, wing, raw, lean and skin",Whole (85g),104.7,7.99,8.09,0,0,26.65,85
867,"Chicken, wing, raw, lean only",Whole (70.69g),36.52,6.37,1.03,0,0,23.48,70.69
868,"Chicken, wing, roasted, lean only",Piece (61g),43.82,6.26,1.91,0,0,18.87,61
869,"Chicken, wing, tip, baked",Whole (10.44g),22.28,1,2,0,0,3.19,10.44
870,"Chicken, wing, tip, boiled",Whole (10.44g),17.81,0.75,1.62,0,0,2.75,10.44
872,"Chicken, wing, tip, raw",Whole (12.2g),20.01,0.76,1.85,0,0,3.61,12.2
873,"Chicken, with black bean and capsicum, braised",Plate-16cm (105.27g),159.69,10.69,12.4,1.34,0.62,385.08,105.27
874,"Chicken, with nutmeg",Plate-16cm (173.02g),294.57,28.24,19.81,0.83,0.81,151.36,173.02
875,Chickpea curry,Bowl-soup (16 and 1/2 cm) (253.25g),305.17,18.36,15.37,23.32,15.32,1207.5,253.25
876,"Chickpeas, deep fried",1 portion (50g),214,9.7,6.05,30.2,10,207,50
877,"Chickpeas, mature seeds, cooked, boiled, without salt",Cup (164g),268.96,14.53,4.25,44.95,12.46,11.48,164
878,"Chickpeas, raw",Packet (313g),513.32,28.17,3.13,93.27,22.54,25.04,313
879,Chilli crab,Plate-23cm (300g),212.24,16.95,12.75,7.35,0.02,804,300
880,"Chilli paste, raw, commercial",Tablespoon (25g),16.5,0.8,0.6,1.98,1.05,396.25,25
881,"Chilli sauce, bottle, commercial",Tablespoon (20g),22.6,0.56,0.08,4.9,0.14,228.8,20
882,"Chilli sauce, chicken rice",Dessertspoon (13g),4.01,0.23,0.08,0.6,0.25,281.45,13
883,"Chilli soyabean, paste",Tablespoon (20g),14.54,0.73,0.77,1.17,0.67,775.8,20
884,"Chilli, dried",Whole (1.14g),2.13,0.15,0.12,0.11,0.42,0.02,1.14
885,"Chilli, green, pickled",Teaspoon (7.1g),3.2,0.06,0.06,0.62,0.2,55.45,7.1
886,"Chilli, green, raw",Whole (8g),3.03,0.16,0.04,0.52,0.16,0.23,8
887,"Chilli, powder",Teaspoon (2g),4.06,0.3,0.19,0.28,0.87,2,2
888,"Chilli, red, raw",Whole (8g),2.74,0.21,0.05,0.34,0.36,0.76,8
889,"Chilli, small, raw",Cup (112g),49.57,4.11,0.74,6.53,7.37,36.85,112
890,Chin cha lok,Bottle (292g),236.52,34.16,2.63,18.98,0.58,11329.6,292
891,"China pearl barley, raw",Packet (290g),1046.9,43.5,7.54,201.55,11.6,118.9,290
892,"Chinese cabbage, with fish cake, stir fried",1 portion (84.98g),84.98,4.5,6.37,2.52,1.21,246.53,84.98
893,Chinese mutton soup,Bowl-soup (16 and 1/2 cm) (533g),389.09,36.24,27.18,0,0,1460.42,533
894,Chinese pear,Whole (169g),53.34,0.79,0.31,11.94,5.34,6.29,169
