food_id|attribute|value
GP082|Protein (Protein)| : 4.7 g
GP082|Lemak (Fat)| : 2.7 g
GP082|Karbohidrat (CHO)| : 28.3 g
GP082|Abu (ASH)| : 1.9 g
GP082|Kalsium (Ca)| : 13 mg
GP082|Fosfor (P)| : 83 mg
GP082|Besi (Fe)| : 1.3 mg
GP082|Natrium (Na)| : 448 mg
GP082|Kalium (K)| : 48.0 mg
GP082|Tembaga (Cu)| : 0.10 mg
GP082|Seng (Zn)| : 0.6 mg
GP082|Thiamin (Vit. B1)| : 0.20 mg
GP082|Riboflavin (Vit. B2)| : 0.05 mg
GP082|Niasin (Niacin)| : 1.1 mg
CP063|food_name|Egg tofu
CP063|food_group|Grains and Legumes
CP063|food_type|Processed/Products
CP063|base_weight|100 g
CP063|base_weight_edible|Edible weight 100 %
CP063|Air (Water)| : 41.8 g
CP063|Energi (Energy)| : 328 Kal
CP063|Protein (Protein)| : 12.6 g
CP063|Lemak (Fat)| : 19.9 g
CP063|Karbohidrat (CHO)| : 24.6 g
CP063|Serat (Fibre)| : 0.4 g
CP063|Abu (ASH)| : 1.1 g
CP063|Kalsium (Ca)| : 492 mg
CP063|Fosfor (P)| : 238 mg
CP063|Besi (Fe)| : 4.9 mg
CP063|Natrium (Na)| : 755 mg
CP063|Retinol (Vit. A)| : 73 mcg
CP063|Karoten Total (Re)| : 1,860 mcg
CP063|Thiamin (Vit. B1)| : 0.42 mg
CP063|Vitamin C (Vit. C)| : 0 mg
DR154|food_name|Eggplant, fresh
DR154|food_group|Vegetables
DR154|food_type|Raw
DR154|base_weight|100 g
DR154|base_weight_edible|Edible weight 100 %
DR154|Air (Water)| : 92.7 g
DR154|Energi (Energy)| : 28 Kal
DR154|Protein (Protein)| : 1.1 g
DR154|Lemak (Fat)| : 0.2 g
DR154|Karbohidrat (CHO)| : 5.5 g
DR154|Serat (Fibre)| : 2.1 g
DR154|Abu (ASH)| : 0.5 g
DR154|Kalsium (Ca)| : 15 mg
DR154|Fosfor (P)| : 37 mg
DR154|Besi (Fe)| : 0.4 mg
DR154|Natrium (Na)| : 9 mg
DR154|Kalium (K)| : 187.0 mg
DR154|Tembaga (Cu)| : 0.10 mg
DR154|Seng (Zn)| : 0.1 mg
DR154|Beta-Karoten (Carotenes)| : 46 mcg
DR154|Karoten Total (Re)| : 30 mcg
DR154|Thiamin (Vit. B1)| : 0.04 mg
DR154|Riboflavin (Vit. B2)| : 0.03 mg
DR154|Niasin (Niacin)| : 0.5 mg
DR154|Vitamin C (Vit. C)| : 5 mg
AP082|food_name|Egyptian martabak
AP082|food_group|Cereals
AP082|food_type|Processed/Products
AP082|base_weight|100 g
AP082|base_weight_edible|Edible weight 100 %
AP082|Air (Water)| : 40.2 g
AP082|Energi (Energy)| : 278 Kal
AP082|Protein (Protein)| : 5.1 g
AP082|Lemak (Fat)| : 8.6 g
AP082|Karbohidrat (CHO)| : 45.0 g
AP082|Abu (ASH)| : 1.1 g
AP082|Kalsium (Ca)| : 49 mg
AP082|Fosfor (P)| : 168 mg
AP082|Besi (Fe)| : 3.4 mg
AP082|Natrium (Na)| : 193 mg
AP082|Kalium (K)| : 123.0 mg
AP082|Tembaga (Cu)| : 0.20 mg
AP082|Seng (Zn)| : 0.9 mg
BR024|food_name|Elephant foot, yam, fresh
BR024|food_group|Starchy Roots & Tubers
BR024|food_type|Raw
BR024|base_weight|100 g
BR024|base_weight_edible|Edible weight 86 %
BR024|Air (Water)| : 80.1 g
BR024|Energi (Energy)| : 74 Kal
BR024|Protein (Protein)| : 1.4 g
BR024|Lemak (Fat)| : 0.1 g
BR024|Karbohidrat (CHO)| : 17.2 g
BR024|Serat (Fibre)| : 1.4 g
BR024|Abu (ASH)| : 1.2 g
BR024|Kalsium (Ca)| : 42 mg
BR024|Fosfor (P)| : 46 mg
BR024|Besi (Fe)| : 1.3 mg
BR024|Natrium (Na)| : 7 mg
BR024|Kalium (K)| : 400.0 mg
BR024|Tembaga (Cu)| : 0.10 mg
BR024|Seng (Zn)| : 0.1 mg
BR024|Retinol (Vit. A)| : 0 mcg
BR024|Beta-Karoten (Carotenes)| : 24 mcg
BR024|Karoten Total (Re)| : 254 mcg
BR024|Thiamin (Vit. B1)| : 0.04 mg
BR024|Riboflavin (Vit. B2)| : 0.00 mg
BR024|Niasin (Niacin)| : 0.4 mg
BR024|Vitamin C (Vit. C)| : 2 mg
BP009|food_name|Elephant foot, yam, steamed
BP009|food_group|Starchy Roots & Tubers
BP009|food_type|Processed/Products
BP009|base_weight|100 g
BP009|base_weight_edible|Edible weight 100 %
BP009|Air (Water)| : 75.5 g
BP009|Energi (Energy)| : 93 Kal
BP009|Protein (Protein)| : 1.5 g
BP009|Lemak (Fat)| : 0.1 g
BP009|Karbohidrat (CHO)| : 21.9 g
BP009|Serat (Fibre)| : 0.9 g
BP009|Abu (ASH)| : 1.0 g
BP009|Kalsium (Ca)| : 50 mg
BP009|Fosfor (P)| : 58 mg
BP009|Besi (Fe)| : 0.8 mg
BP009|Natrium (Na)| : 6 mg
BP009|Kalium (K)| : 350.3 mg
BP009|Tembaga (Cu)| : 0.10 mg
BP009|Seng (Zn)| : 0.1 mg
BP009|Retinol (Vit. A)| : 0 mcg
BP009|Beta-Karoten (Carotenes)| : 0 mcg
BP009|Karoten Total (Re)| : 283 mcg
BP009|Thiamin (Vit. B1)| : 0.09 mg
BP009|Riboflavin (Vit. B2)| : 0.00 mg
BP009|Niasin (Niacin)| : 0.3 mg
BP009|Vitamin C (Vit. C)| : 0 mg
FP046|food_name|Empal (meat), Fried, dish
FP046|food_group|Meat and Poultry
FP046|food_type|Processed/Products
FP046|base_weight|100 g
FP046|base_weight_edible|Edible weight 100 %
FP046|Air (Water)| : 43.9 g
FP046|Energi (Energy)| : 248 Kal
FP046|Protein (Protein)| : 36.2 g
FP046|Lemak (Fat)| : 6.9 g
FP046|Karbohidrat (CHO)| : 10.1 g
FP046|Abu (ASH)| : 2.0 g
FP046|Kalsium (Ca)| : 131 mg
FP046|Fosfor (P)| : 235 mg
FP046|Besi (Fe)| : 6.4 mg
FP046|Natrium (Na)| : 848 mg
FP046|Retinol (Vit. A)| : 112 mcg
FP046|Karoten Total (Re)| : 620 mcg
FP046|Thiamin (Vit. B1)| : 0.55 mg
FP046|Vitamin C (Vit. C)| : 0 mg
CP024|food_name|Emping (melinjo chips)
CP024|food_group|Grains and Legumes
CP024|food_type|Processed/Products
CP024|base_weight|100 g
CP024|base_weight_edible|Edible weight 100 %
CP024|Air (Water)| : 13.0 g
CP024|Energi (Energy)| : 345 Kal
CP024|Protein (Protein)| : 12.0 g
CP024|Lemak (Fat)| : 1.5 g
CP024|Karbohidrat (CHO)| : 71.5 g
CP024|Abu (ASH)| : 28.0 g
CP024|Kalsium (Ca)| : 100 mg
CP024|Fosfor (P)| : 400 mg
CP024|Besi (Fe)| : 5.0 mg
CP024|Thiamin (Vit. B1)| : 0.20 mg
CP024|Vitamin C (Vit. C)| : 0 mg
DR086|food_name|Encik mushroom
DR086|food_group|Vegetables
DR086|food_type|Raw
DR086|base_weight|100 g
DR086|base_weight_edible|Edible weight 95 %
DR086|Air (Water)| : 24.8 g
DR086|Energi (Energy)| : 296 Kal
DR086|Protein (Protein)| : 9.4 g
DR086|Lemak (Fat)| : 1.1 g
DR086|Karbohidrat (CHO)| : 62.0 g
DR086|Abu (ASH)| : 2.7 g
DR086|Kalsium (Ca)| : 5 mg
DR086|Fosfor (P)| : 277 mg
DR086|Besi (Fe)| : 5.3 mg
DR086|Natrium (Na)| : 2 mg
DR086|Kalium (K)| : 0.0 mg
DR086|Tembaga (Cu)| : 0.20 mg
DR086|Seng (Zn)| : 3.1 mg
DR086|Thiamin (Vit. B1)| : 1.10 mg
DR086|Riboflavin (Vit. B2)| : 0.10 mg
DR004|food_name|Endive, fresh
DR004|food_group|Vegetables
DR004|food_type|Raw
DR004|base_weight|100 g
DR004|base_weight_edible|Edible weight 80 %
DR004|Air (Water)| : 91.8 g
DR004|Energi (Energy)| : 226 Kal
DR004|Protein (Protein)| : 1.6 g
DR004|Lemak (Fat)| : 0.2 g
DR004|Karbohidrat (CHO)| : 5.3 g
DR004|Serat (Fibre)| : 4.1 g
DR004|Abu (ASH)| : 1.1 g
DR004|Kalsium (Ca)| : 33 mg
DR004|Fosfor (P)| : 66 mg
DR004|Besi (Fe)| : 1.0 mg
DR004|Natrium (Na)| : 29 mg
DR004|Kalium (K)| : 414.6 mg
DR004|Tembaga (Cu)| : 0.13 mg
DR004|Seng (Zn)| : 1.0 mg
DR004|Beta-Karoten (Carotenes)| : 1,717 mcg
DR004|Thiamin (Vit. B1)| : 0.14 mg
DR004|Riboflavin (Vit. B2)| : 0.09 mg
DR004|Niasin (Niacin)| : 0.5 mg
DR004|Vitamin C (Vit. C)| : 10 mg
CP026|food_name|Enting-enting gepuk, brand hello kity
CP026|food_group|Grains and Legumes
CP026|food_type|Processed/Products
CP026|base_weight|100 g
CP026|base_weight_edible|Edible weight 100 %
CP026|Air (Water)| : 2.4 g
CP026|Energi (Energy)| : 538 Kal
CP026|Protein (Protein)| : 13.6 g
CP026|Lemak (Fat)| : 30.3 g
CP026|Karbohidrat (CHO)| : 52.6 g
CP026|Serat (Fibre)| : 0.2 g
CP026|Abu (ASH)| : 1.0 g
CP026|Kalsium (Ca)| : 81 mg
CP026|Fosfor (P)| : 248 mg
CP026|Besi (Fe)| : 1.6 mg
CP026|Retinol (Vit. A)| : 0 mcg
CP026|Karoten Total (Re)| : 202 mcg
CP026|Thiamin (Vit. B1)| : 1.00 mg
CP026|Vitamin C (Vit. C)| : 0 mg
CP027|food_name|Enting-enting gepuk, peanut
CP027|food_group|Grains and Legumes
CP027|food_type|Processed/Products
CP027|base_weight|100 g
CP027|base_weight_edible|Edible weight 100 %
CP027|Air (Water)| : 4.2 g
CP027|Energi (Energy)| : 524 Kal
CP027|Protein (Protein)| : 13.3 g
CP027|Lemak (Fat)| : 29.2 g
CP027|Karbohidrat (CHO)| : 52.0 g
CP027|Serat (Fibre)| : 0.2 g
CP027|Abu (ASH)| : 1.4 g
CP027|Kalsium (Ca)| : 76 mg
CP027|Fosfor (P)| : 248 mg
CP027|Besi (Fe)| : 1.4 mg
CP027|Retinol (Vit. A)| : 0 mcg
CP027|Karoten Total (Re)| : 272 mcg
CP027|Thiamin (Vit. B1)| : 0.62 mg
CP027|Vitamin C (Vit. C)| : 0 mg
CP028|food_name|Enting-enting, sesame
CP028|food_group|Grains and Legumes
CP028|food_type|Processed/Products
CP028|base_weight|100 g
CP028|base_weight_edible|Edible weight 100 %
CP028|Air (Water)| : 3.7 g
CP028|Energi (Energy)| : 565 Kal
CP028|Protein (Protein)| : 18.2 g
CP028|Lemak (Fat)| : 38.4 g
CP028|Karbohidrat (CHO)| : 36.8 g
CP028|Serat (Fibre)| : 1.9 g
CP028|Abu (ASH)| : 3.0 g
CP028|Kalsium (Ca)| : 251 mg
CP028|Fosfor (P)| : 502 mg
CP028|Besi (Fe)| : 10.9 mg
CP028|Retinol (Vit. A)| : 0 mcg
CP028|Karoten Total (Re)| : 240 mcg
CP028|Thiamin (Vit. B1)| : 0.92 mg
CP028|Vitamin C (Vit. C)| : 0 mg
GR054|food_name|European carp, fresh
GR054|food_group|Fish and Other Seafood
GR054|food_type|Raw
GR054|base_weight|100 g
GR054|base_weight_edible|Edible weight -
GR054|Air (Water)| : 68.3 g
GR054|Energi (Energy)| : 147 Kal
GR054|Protein (Protein)| : 22.5 g
GR054|Lemak (Fat)| : 5.2 g
GR054|Karbohidrat (CHO)| : 2.6 g
GR054|Abu (ASH)| : 1.4 g
GR054|Kalsium (Ca)| : 80 mg
GR054|Fosfor (P)| : 230 mg
GR054|Besi (Fe)| : 1.3 mg
GR054|Kalium (K)| : 380.0 mg
GR054|Tembaga (Cu)| : 0.20 mg
GR054|Seng (Zn)| : 0.7 mg
GR054|Retinol (Vit. A)| : 89 mcg
GP078|food_name|Featherback pempek
GP078|food_group|Fish and Other Seafood
GP078|food_type|Processed/Products
GP078|base_weight|100 g
GP078|base_weight_edible|Edible weight -
GP078|Air (Water)| : 61.4 g
GP078|Energi (Energy)| : 156 Kal
GP078|Protein (Protein)| : 4.2 g
GP078|Lemak (Fat)| : 1.4 g
GP078|Karbohidrat (CHO)| : 31.6 g
GP078|Serat (Fibre)| : 0.2 g
GP078|Abu (ASH)| : 1.4 g
GP078|Kalsium (Ca)| : 100 mg
GP078|Fosfor (P)| : 55 mg
GP078|Besi (Fe)| : 3.3 mg
GP078|Retinol (Vit. A)| : 0 mcg
GP078|Karoten Total (Re)| : 0 mcg
GP078|Thiamin (Vit. B1)| : 0.03 mg
GP078|Vitamin C (Vit. C)| : 0 mg
NP001|food_name|Fermented baby shrimp / Balichong
NP001|food_group|Herbs and Spices
NP001|food_type|Processed/Products
NP001|base_weight|100 g
NP001|base_weight_edible|Edible weight -
NP001|Air (Water)| : 59.9 g
NP001|Energi (Energy)| : 152 Kal
NP001|Protein (Protein)| : 13.2 g
NP001|Lemak (Fat)| : 0.8 g
NP001|Karbohidrat (CHO)| : 22.9 g
NP001|Serat (Fibre)| : 1.5 g
NP001|Abu (ASH)| : 3.6 g
NP001|Kalsium (Ca)| : 380 mg
NP001|Fosfor (P)| : 210 mg
NP001|Besi (Fe)| : 2.9 mg
NP001|Natrium (Na)| : 120 mg
NP001|Kalium (K)| : 310.0 mg
NP001|Tembaga (Cu)| : 0.80 mg
NP001|Seng (Zn)| : 1.1 mg
NP001|Retinol (Vit. A)| : 34 mcg
NP001|Beta-Karoten (Carotenes)| : 0 mcg
NP001|Thiamin (Vit. B1)| : 0.01 mg
NP001|Riboflavin (Vit. B2)| : 0.08 mg
NP001|Niasin (Niacin)| : 0.2 mg
NP002|food_name|Fermented fish / Bekasam
NP002|food_group|Herbs and Spices
NP002|food_type|Processed/Products
NP002|base_weight|100 g
NP002|base_weight_edible|Edible weight -
NP002|Air (Water)| : 65.5 g
NP002|Energi (Energy)| : 116 Kal
NP002|Protein (Protein)| : 11.9 g
NP002|Lemak (Fat)| : 4.9 g
NP002|Karbohidrat (CHO)| : 6.1 g
NP002|Serat (Fibre)| : 3.5 g
NP002|Abu (ASH)| : 11.6 g
NP002|Kalsium (Ca)| : 704 mg
NP002|Fosfor (P)| : 757 mg
NP002|Besi (Fe)| : 7.5 mg
NP002|Natrium (Na)| : 711 mg
NP002|Kalium (K)| : 176.0 mg
NP002|Tembaga (Cu)| : 0.80 mg
NP002|Seng (Zn)| : 1.9 mg
NP002|Beta-Karoten (Carotenes)| : 0 mcg
NP002|Thiamin (Vit. B1)| : 0.00 mg
NP002|Riboflavin (Vit. B2)| : 0.03 mg
NP002|Niasin (Niacin)| : 2.1 mg
DP033|food_name|Fern curry
DP033|food_group|Vegetables
DP033|food_type|Processed/Products
DP033|base_weight|100 g
DP033|base_weight_edible|Edible weight 100 %
DP033|Air (Water)| : 76.1 g
DP033|Energi (Energy)| : 143 Kal
DP033|Protein (Protein)| : 4.0 g
DP033|Lemak (Fat)| : 11.4 g
DP033|Karbohidrat (CHO)| : 6.0 g
DP033|Serat (Fibre)| : 1.4 g
DP033|Abu (ASH)| : 2.6 g
DP033|Kalsium (Ca)| : 548 mg
DP033|Fosfor (P)| : 124 mg
DP033|Besi (Fe)| : 1.7 mg
DP033|Retinol (Vit. A)| : 11 mcg
DP033|Karoten Total (Re)| : 9,802 mcg
DP033|Thiamin (Vit. B1)| : 0.35 mg
DP033|Vitamin C (Vit. C)| : 1 mg
DR059|food_name|Fern leaves, fresh
DR059|food_group|Vegetables
DR059|food_type|Raw
DR059|base_weight|100 g
DR059|base_weight_edible|Edible weight 70 %
DR059|Air (Water)| : 86.8 g
DR059|Energi (Energy)| : 39 Kal
DR059|Protein (Protein)| : 4.5 g
DR059|Lemak (Fat)| : 0.4 g
DR059|Karbohidrat (CHO)| : 6.9 g
DR059|Serat (Fibre)| : 2.0 g
DR059|Abu (ASH)| : 1.4 g
DR059|Kalsium (Ca)| : 136 mg
DR059|Fosfor (P)| : 159 mg
DR059|Besi (Fe)| : 2.3 mg
DR059|Natrium (Na)| : 20 mg
DR059|Kalium (K)| : 201.9 mg
DR059|Tembaga (Cu)| : 0.20 mg
DR059|Seng (Zn)| : 0.3 mg
DR059|Retinol (Vit. A)| : 0 mcg
DR059|Beta-Karoten (Carotenes)| : 1,625 mcg
DR059|Karoten Total (Re)| : 3,292 mcg
DR059|Thiamin (Vit. B1)| : 0.02 mg
DR059|Riboflavin (Vit. B2)| : 0.10 mg
DR059|Niasin (Niacin)| : 0.5 mg
DR059|Vitamin C (Vit. C)| : 3 mg
AR009|food_name|Field rice, raw
AR009|food_group|Cereals
AR009|food_type|Raw
AR009|base_weight|100 g
AR009|base_weight_edible|Edible weight 100 %
AR009|Air (Water)| : 9.8 g
AR009|Energi (Energy)| : 376 Kal
AR009|Protein (Protein)| : 7.5 g
AR009|Lemak (Fat)| : 3.8 g
AR009|Karbohidrat (CHO)| : 78.0 g
AR009|Serat (Fibre)| : 5.9 g
AR009|Abu (ASH)| : 0.9 g
AR009|Kalsium (Ca)| : 20 mg
AR009|Fosfor (P)| : 110 mg
AR009|Besi (Fe)| : 0.8 mg
AR009|Natrium (Na)| : 10 mg
AR009|Kalium (K)| : 70.0 mg
AR009|Tembaga (Cu)| : 0.10 mg
AR009|Seng (Zn)| : 1.4 mg
AR009|Retinol (Vit. A)| : 0 mcg
AR009|Beta-Karoten (Carotenes)| : 0 mcg
AR009|Thiamin (Vit. B1)| : 0.20 mg
AR009|Riboflavin (Vit. B2)| : 0.20 mg
AR009|Niasin (Niacin)| : 5.1 mg
AR009|Vitamin C (Vit. C)| : 0 mg
GP061|food_name|Fillet o-fish
GP061|food_group|Fish and Other Seafood
GP061|food_type|Processed/Products
GP061|base_weight|100 g
GP061|base_weight_edible|Edible weight -
GP061|Air (Water)| : 51.0 g
GP061|Energi (Energy)| : 270 Kal
GP061|Protein (Protein)| : 12.3 g
GP061|Lemak (Fat)| : 15.9 g
GP061|Karbohidrat (CHO)| : 19.3 g
GP061|Serat (Fibre)| : 0.2 g
GP061|Abu (ASH)| : 1.5 g
GP061|Kalsium (Ca)| : 239 mg
GP061|Fosfor (P)| : 272 mg
GP061|Besi (Fe)| : 1.8 mg
GP061|Natrium (Na)| : 439 mg
GP061|Retinol (Vit. A)| : 34 mcg
GP061|Karoten Total (Re)| : 580 mcg
GP061|Thiamin (Vit. B1)| : 0.59 mg
GP061|Vitamin C (Vit. C)| : 0 mg
NR009|food_name|Fingerroot, fresh
NR009|food_group|Herbs and Spices
NR009|food_type|Raw
NR009|base_weight|100 g
NR009|base_weight_edible|Edible weight 80 %
NR009|Air (Water)| : 90.0 g
NR009|Energi (Energy)| : 40 Kal
NR009|Protein (Protein)| : 1.0 g
NR009|Lemak (Fat)| : 0.8 g
NR009|Karbohidrat (CHO)| : 7.2 g
NR009|Serat (Fibre)| : 1.0 g
NR009|Abu (ASH)| : 1.0 g
NR009|Kalsium (Ca)| : 50 mg
NR009|Fosfor (P)| : 50 mg
NR009|Besi (Fe)| : 2.0 mg
NR009|Natrium (Na)| : 33 mg
NR009|Kalium (K)| : 480.0 mg
NR009|Tembaga (Cu)| : 0.02 mg
NR009|Seng (Zn)| : 0.3 mg
NR009|Beta-Karoten (Carotenes)| : 0 mcg
NR009|Karoten Total (Re)| : 5,000 mcg
NR009|Thiamin (Vit. B1)| : 0.08 mg
NR009|Riboflavin (Vit. B2)| : 0.68 mg
NR009|Niasin (Niacin)| : 1.7 mg
NR009|Vitamin C (Vit. C)| : 50 mg
HP004|food_name|Fish egg, salted, raw
HP004|food_group|Eggs
HP004|food_type|Processed/Products
HP004|base_weight|100 g
HP004|base_weight_edible|Edible weight 100 %
HP004|Air (Water)| : 37.8 g
HP004|Energi (Energy)| : 358 Kal
HP004|Protein (Protein)| : 20.7 g
HP004|Lemak (Fat)| : 26.4 g
HP004|Karbohidrat (CHO)| : 9.4 g
HP004|Serat (Fibre)| : 0.0 g
HP004|Abu (ASH)| : 5.7 g
HP004|Kalsium (Ca)| : 48 mg
HP004|Fosfor (P)| : 311 mg
HP004|Besi (Fe)| : 15.1 mg
HP004|Natrium (Na)| : 2,684 mg
HP004|Kalium (K)| : 59.0 mg
HP004|Tembaga (Cu)| : 0.40 mg
HP004|Seng (Zn)| : 3.0 mg
HP004|Retinol (Vit. A)| : 1,866 mcg
HP004|Beta-Karoten (Carotenes)| : 0 mcg
HP004|Thiamin (Vit. B1)| : 0.21 mg
HP004|Riboflavin (Vit. B2)| : 0.54 mg
HP004|Niasin (Niacin)| : 2.1 mg
KR005|food_name|Fish fat
KR005|food_group|Fat and Oil
KR005|food_type|Raw
KR005|base_weight|100 g
KR005|base_weight_edible|Edible weight 100 %
KR005|Air (Water)| : 43.3 g
KR005|Energi (Energy)| : 372 Kal
KR005|Protein (Protein)| : 12.0 g
KR005|Lemak (Fat)| : 29.4 g
KR005|Karbohidrat (CHO)| : 14.4 g
KR005|Serat (Fibre)| : 0.0 g
KR005|Abu (ASH)| : 0.3 g
KR005|Kalsium (Ca)| : 20 mg
KR005|Fosfor (P)| : 230 mg
KR005|Besi (Fe)| : 32.7 mg
KR005|Natrium (Na)| : 60 mg
KR005|Kalium (K)| : 52.0 mg
KR005|Tembaga (Cu)| : 0.40 mg
KR005|Seng (Zn)| : 1.1 mg
KR005|Thiamin (Vit. B1)| : 0.49 mg
KR005|Riboflavin (Vit. B2)| : 0.13 mg
GP065|food_name|Fish gulai, dish
GP065|food_group|Fish and Other Seafood
GP065|food_type|Processed/Products
GP065|base_weight|100 g
GP065|base_weight_edible|Edible weight -
GP065|Air (Water)| : 75.7 g
GP065|Energi (Energy)| : 106 Kal
GP065|Protein (Protein)| : 16.5 g
GP065|Lemak (Fat)| : 3.3 g
GP065|Karbohidrat (CHO)| : 2.5 g
GP065|Abu (ASH)| : 2.0 g
GP065|Kalsium (Ca)| : 306 mg
GP065|Fosfor (P)| : 196 mg
GP065|Besi (Fe)| : 4.8 mg
GP065|Natrium (Na)| : 743 mg
GP065|Retinol (Vit. A)| : 86 mcg
GP065|Karoten Total (Re)| : 2,760 mcg
GP065|Thiamin (Vit. B1)| : 0.32 mg
GP065|Vitamin C (Vit. C)| : 0 mg
KR008|food_name|Fish oil
KR008|food_group|Fat and Oil
KR008|food_type|Raw
KR008|base_weight|100 g
KR008|base_weight_edible|Edible weight 100 %
KR008|Air (Water)| : 0.0 g
KR008|Energi (Energy)| : 902 Kal
KR008|Protein (Protein)| : 0.0 g
KR008|Lemak (Fat)| : 100.0 g
KR008|Karbohidrat (CHO)| : 0.0 g
KR008|Serat (Fibre)| : 0.0 g
KR008|Abu (ASH)| : 0.0 g
KR008|Kalsium (Ca)| : 0 mg
KR008|Fosfor (P)| : 0 mg
KR008|Besi (Fe)| : 0.0 mg
KR008|Natrium (Na)| : 0 mg
KR008|Kalium (K)| : 0.0 mg
KR008|Tembaga (Cu)| : 0.00 mg
KR008|Seng (Zn)| : 0.0 mg
KR008|Retinol (Vit. A)| : 24,242 mcg
KR008|Beta-Karoten (Carotenes)| : 0 mcg
KR008|Thiamin (Vit. B1)| : 0.00 mg
KR008|Riboflavin (Vit. B2)| : 0.00 mg
KR008|Niasin (Niacin)| : 0.0 mg
KR008|Vitamin C (Vit. C)| : 0 mg
NP006|food_name|Fish paste (petis)
NP006|food_group|Herbs and Spices
NP006|food_type|Processed/Products
NP006|base_weight|100 g
NP006|base_weight_edible|Edible weight 100 %
NP006|Air (Water)| : 56.0 g
NP006|Energi (Energy)| : 165 Kal
NP006|Protein (Protein)| : 20.0 g
NP006|Lemak (Fat)| : 0.2 g
NP006|Karbohidrat (CHO)| : 20.8 g
NP006|Abu (ASH)| : 3.0 g
NP006|Kalsium (Ca)| : 37 mg
NP006|Fosfor (P)| : 36 mg
NP006|Besi (Fe)| : 2.8 mg
NP006|Karoten Total (Re)| : 0 mcg
NP006|Thiamin (Vit. B1)| : 0.01 mg
NP006|Riboflavin (Vit. B2)| : 0.20 mg
NP006|Niasin (Niacin)| : 0.8 mg
NP006|Vitamin C (Vit. C)| : 0 mg
GP038|food_name|Fish, ground, raw
GP038|food_group|Fish and Other Seafood
GP038|food_type|Processed/Products
GP038|base_weight|100 g
GP038|base_weight_edible|Edible weight -
GP038|Air (Water)| : 34.7 g
GP038|Energi (Energy)| : 199 Kal
GP038|Protein (Protein)| : 34.1 g
GP038|Lemak (Fat)| : 3.8 g
GP038|Karbohidrat (CHO)| : 7.1 g
GP038|Abu (ASH)| : 20.3 g
GP038|Kalsium (Ca)| : 94 mg
GP038|Fosfor (P)| : 92 mg
GP038|Besi (Fe)| : 2.2 mg
GP038|Natrium (Na)| : 377 mg
GP038|Kalium (K)| : 57.0 mg
GP038|Tembaga (Cu)| : 0.10 mg
GP038|Seng (Zn)| : 3.2 mg
GP038|Retinol (Vit. A)| : 2,481 mcg
GP038|Thiamin (Vit. B1)| : 1.50 mg
GP038|Riboflavin (Vit. B2)| : 0.13 mg
GP038|Niasin (Niacin)| : 7.2 mg
GR077|food_name|Flying fish, fresh
GR077|food_group|Fish and Other Seafood
GR077|food_type|Raw
GR077|base_weight|100 g
GR077|base_weight_edible|Edible weight 52 %
GR077|Air (Water)| : 79.9 g
GR077|Energi (Energy)| : 87 Kal
GR077|Protein (Protein)| : 16.0 g
GR077|Lemak (Fat)| : 2.2 g
GR077|Karbohidrat (CHO)| : 1.0 g
GR077|Serat (Fibre)| : 0.0 g
GR077|Abu (ASH)| : 0.9 g
GR077|Kalsium (Ca)| : 75 mg
GR077|Fosfor (P)| : 136 mg
GR077|Besi (Fe)| : 1.0 mg
GR077|Retinol (Vit. A)| : 6 mcg
GR077|Karoten Total (Re)| : 0 mcg
GR077|Thiamin (Vit. B1)| : 0.04 mg
GR077|Vitamin C (Vit. C)| : 0 mg
DR063|food_name|Football fruit leaves, fresh
DR063|food_group|Vegetables
DR063|food_type|Raw
DR063|base_weight|100 g
DR063|base_weight_edible|Edible weight 90 %
DR063|Air (Water)| : 76.1 g
DR063|Energi (Energy)| : 104 Kal
DR063|Protein (Protein)| : 3.9 g
DR063|Lemak (Fat)| : 0.6 g
DR063|Karbohidrat (CHO)| : 17.9 g
DR063|Serat (Fibre)| : 8.3 g
DR063|Abu (ASH)| : 1.5 g
DR063|Kalsium (Ca)| : 256 mg
DR063|Fosfor (P)| : 22 mg
DR063|Besi (Fe)| : 1.8 mg
DR063|Natrium (Na)| : 4 mg
DR063|Kalium (K)| : 266.0 mg
DR063|Tembaga (Cu)| : 1.70 mg
DR063|Seng (Zn)| : 0.5 mg
DR063|Beta-Karoten (Carotenes)| : 55 mcg
DR063|Thiamin (Vit. B1)| : 0.40 mg
DR063|Riboflavin (Vit. B2)| : 0.10 mg
DR063|Niasin (Niacin)| : 0.1 mg
DR063|Vitamin C (Vit. C)| : 23 mg
BP057|food_name|Forno sago
BP057|food_group|Starchy Roots & Tubers
BP057|food_type|Processed/Products
BP057|base_weight|100 g
BP057|base_weight_edible|Edible weight 100 %
BP057|Air (Water)| : 31.5 g
BP057|Energi (Energy)| : 291 Kal
BP057|Protein (Protein)| : 0.5 g
BP057|Lemak (Fat)| : 4.0 g
BP057|Karbohidrat (CHO)| : 63.4 g
BP057|Abu (ASH)| : 0.6 g
BP057|Kalsium (Ca)| : 10 mg
BP057|Fosfor (P)| : 20 mg
BP057|Besi (Fe)| : 0.8 mg
BP057|Natrium (Na)| : 40 mg
BP057|Kalium (K)| : 50.0 mg
BP057|Tembaga (Cu)| : 0.10 mg
BP057|Seng (Zn)| : 0.2 mg
BP057|Retinol (Vit. A)| : 0 mcg
BP057|Beta-Karoten (Carotenes)| : 0 mcg
BP057|Karoten Total (Re)| : 0 mcg
